REF_AREA,Geographic area,INDICATOR,Indicator,SEX,Sex,EDUCATION_LEVEL,Education Level,WEALTH_QUINTILE,Wealth Quintile,RESIDENCE,Residence,UNIT_MEASURE,Unit of measure,UNIT_MULTIPLIER,Unit multiplier,SOURCE_LINK,SERIES_FOOTNOTE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation Status,DATA_SOURCE,OBS_CONF,Observation confidentaility,TIME_PERIOD_METHOD,Time period activity related to when the data are collected,COVERAGE_TIME,OBS_FOOTNOTE,FREQ_COLL,Time interval at which the source data are collected
AGO,Angola,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2016,50.302078,,,DHS 2015-16,,,,,,,0,Not Known
AGO,Angola,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2016,27.24758,,,DHS 2015-16,,,,,,,0,Not Known
AGO,Angola,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2016,16.99028,,,DHS 2015-16,,,,,,,0,Not Known
AGO,Angola,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2016,9.2689476,,,DHS 2015-16,,,,,,,0,Not Known
AGO,Angola,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2016,52.51749,,,DHS 2015-16,,,,,,,0,Not Known
AGO,Angola,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2016,19.26346,,,DHS 2015-16,,,,,,,0,Not Known
AGO,Angola,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,28.510441,,,DHS 2015-16,,,,,,,0,Not Known
ALB,Albania,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2018,12,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2018,12.4,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2018,26.6,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2018,11.4,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2018,10.5,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2018,5.4000001,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2018,4.6999998,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2018,16,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2018,9.3000002,,,DHS 2017-18,,,,,,,0,Not Known
ALB,Albania,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2018,12.2,,,DHS 2017-18,,,,,,,0,Not Known
ARG,Argentina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2020,5.89115,,,MICS 2019-20,,,,,,,,
ARG,Argentina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2020,7.7867188,,,MICS 2019-20,,,,,,,,
ARG,Argentina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2020,13.99897,,,MICS 2019-20,,,,,,,,
ARG,Argentina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2020,6.949657,,,MICS 2019-20,,,,,,,,
ARG,Argentina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2020,7.2138319,,,MICS 2019-20,,,,,,,,
ARG,Argentina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2020,1.871444,,,MICS 2019-20,,,,,,,,
ARG,Argentina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2020,0.47939509,,,MICS 2019-20,,,,,,,,
ARG,Argentina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2020,6.8578038,,,MICS 2019-20,,,,,,,,
ARM,Armenia,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,4.4000001,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,8.6999998,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2016,11.6,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2016,6.3000002,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2016,9.5,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2016,4.5999999,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2016,1.5,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2016,8.8999996,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2016,4.8000002,,,DHS 2015-16,,,,,,,0,Not Known
ARM,Armenia,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,6.5999999,,,DHS 2015-16,,,,,,,0,Not Known
BDI,Burundi,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2017,54.298901,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2017,52.620831,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2017,75.949738,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2017,65.296997,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2017,53.709339,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2017,46.06522,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2017,39.329861,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2017,55.193211,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2017,43.661991,,,DHS 2016-17,,,,,,,0,Not Known
BDI,Burundi,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2017,53.513481,,,DHS 2016-17,,,,,,,0,Not Known
BEN,Benin,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2018,66.099998,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2018,49.900002,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2018,82.300003,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2018,72.699997,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2018,60.799999,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2018,47.700001,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2018,36.099998,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2018,64.699997,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2018,49.5,,,DHS 2017-18,,,,,,,0,Not Known
BEN,Benin,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2018,58.400002,,,DHS 2017-18,,,,,,,0,Not Known
BFA,Burkina Faso,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2010,79.244873,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2010,68.967773,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2010,89.87442,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2010,86.849419,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2010,80.941353,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2010,74.238991,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2010,53.11779,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2010,83.183151,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2010,54.234039,,,DHS 2010,,,,,,,0,Not Known
BFA,Burkina Faso,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2010,74.19931,,,DHS 2010,,,,,,,0,Not Known
BGD,Bangladesh,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2019,26.1,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2019,36.5,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2019,45.099998,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2019,35.299999,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2019,29,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2019,28.200001,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2019,18.799999,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2019,31.700001,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2019,30.299999,,,MICS 2019,,,,,,,0,Not Known
BGD,Bangladesh,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2019,31.4,,,MICS 2019,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2012,5.6999998,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2012,7.8000002,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2012,15,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2012,8.3999996,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2012,7.9000001,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2012,3,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2012,2.8,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2012,6.6999998,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2012,6.8000002,,,MICS 2011-12,,,,,,,0,Not Known
BIH,Bosnia and Herzegovina,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2012,6.6999998,,,MICS 2011-12,,,,,,,0,Not Known
BLR,Belarus,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2020,0.7660588,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2020,0.72732079,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2020,1.639697,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2020,0,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2020,0,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2020,1.875597,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q5,Highest,_T,Total,PCNT,%,,,,,2020,0,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,R,Rural,PCNT,%,,,,,2020,0,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,U,Urban,PCNT,%,,,,,2020,1.000262,,,MICS 2019,,,,,,,,
BLR,Belarus,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2020,0.75006419,,,MICS 2019,,,,,,,,
BLZ,Belize,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,F,Female,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,35.099998,,,MICS 2015-16,,,,,,,0,Not Known
BLZ,Belize,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,M,Male,ISCED11_3,Upper secondary education,_T,Total,_T,Total,PCNT,%,,,,,2016,30.4,,,MICS 2015-16,,,,,,,0,Not Known
BLZ,Belize,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q1,Lowest,_T,Total,PCNT,%,,,,,2016,54.400002,,,MICS 2015-16,,,,,,,0,Not Known
BLZ,Belize,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q2,Second,_T,Total,PCNT,%,,,,,2016,42.799999,,,MICS 2015-16,,,,,,,0,Not Known
BLZ,Belize,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q3,Middle,_T,Total,PCNT,%,,,,,2016,39.900002,,,MICS 2015-16,,,,,,,0,Not Known
BLZ,Belize,ED_ROFST_L3,Out-of-school rate for youth of upper secondary school age,_T,Total,ISCED11_3,Upper secondary education,Q4,Fourth,_T,Total,PCNT,%,,,,,2016,13.3,,,MICS 2015-16,,,,,,,0,Not Known
